Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
NCN18,8.895,Low Fat,0.125420107,Household,111.7544,OUT017,2007,,Tier 2,Supermarket Type1
FDR26,20.7,Low Fat,0.042828678,Dairy,177.3028,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS26,20.35,Low Fat,0.08983368,Dairy,261.0594,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRK37,5,Low Fat,0.044183931,Soft Drinks,188.653,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK46,9.6,Low Fat,0.051547413,Snack Foods,260.662,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDJ33,8.895,Regular,0.088501299,Snack Foods,124.373,OUT045,2002,,Tier 2,Supermarket Type1
NCQ02,12.6,Low Fat,0.007471585,Household,188.1556,OUT045,2002,,Tier 2,Supermarket Type1
FDW20,20.75,Low Fat,0.024186975,Fruits and Vegetables,121.573,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF45,18.2,Regular,0.012202405,Fruits and Vegetables,57.3904,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA26,7.855,Regular,0.074338562,Dairy,220.4482,OUT017,2007,,Tier 2,Supermarket Type1
FDM32,20.5,Low Fat,0.020637068,Fruits and Vegetables,87.883,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ55,6.055,Low Fat,0.025448206,Fruits and Vegetables,159.692,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA19,7.52,Low Fat,0.055352065,Fruits and Vegetables,130.1994,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM10,18.25,Low Fat,0.076281071,Snack Foods,213.0218,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD20,14.15,Low Fat,0.020756532,Fruits and Vegetables,123.9046,OUT045,2002,,Tier 2,Supermarket Type1
NCA18,10.1,Low Fat,0.05606697,Household,115.6492,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW09,13.65,Regular,0.025915914,Snack Foods,78.3302,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS47,16.75,Low Fat,0.129410755,Breads,89.0856,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCG19,20.25,Low Fat,0.14823358,Household,235.7616,OUT045,2002,,Tier 2,Supermarket Type1
NCD43,8.85,Low Fat,0.016085216,Household,104.6964,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRH13,8.575,Low Fat,0.02388144,Soft Drinks,108.428,OUT035,2004,Small,Tier 2,Supermarket Type1
NCI43,19.85,Low Fat,0.026021371,Household,49.2376,OUT045,2002,,Tier 2,Supermarket Type1
NCG18,15.3,low fat,0.023107874,Household,103.8332,OUT017,2007,,Tier 2,Supermarket Type1
FDN31,11.5,low fat,0.073293783,Fruits and Vegetables,191.053,OUT017,2007,,Tier 2,Supermarket Type1
NCZ42,10.5,LF,0.011310821,Household,238.7248,OUT045,2002,,Tier 2,Supermarket Type1
FDD40,20.25,Regular,0.014877034,Dairy,193.5162,OUT017,2007,,Tier 2,Supermarket Type1
FDF58,13.3,Low Fat,0.009620184,Snack Foods,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB32,20.6,Low Fat,0.023500502,Fruits and Vegetables,95.5778,OUT045,2002,,Tier 2,Supermarket Type1
FDB16,8.21,Low Fat,0.045108792,Dairy,87.0198,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDR59,14.5,Regular,0.064123704,Breads,262.3594,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCU06,17.6,Low Fat,0.074557961,Household,231.001,OUT045,2002,,Tier 2,Supermarket Type1
DRH49,19.7,Low Fat,0.024650932,Soft Drinks,83.6592,OUT035,2004,Small,Tier 2,Supermarket Type1
NCT18,14.6,Low Fat,0.059497511,Household,182.4976,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDK57,10.195,Low Fat,0.080277707,Snack Foods,119.144,OUT035,2004,Small,Tier 2,Supermarket Type1
FDM01,7.895,Regular,0,Breakfast,102.4332,OUT045,2002,,Tier 2,Supermarket Type1
FDC32,18.35,Low Fat,0.099263089,Fruits and Vegetables,93.4462,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCW54,7.5,Low Fat,0.096958614,Household,55.3588,OUT017,2007,,Tier 2,Supermarket Type1
FDF09,6.215,Low Fat,0.012217624,Fruits and Vegetables,37.7848,OUT017,2007,,Tier 2,Supermarket Type1
FDP45,15.7,Regular,0.030749596,Snack Foods,250.6724,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS59,14.8,Regular,0.044141726,Breads,111.157,OUT017,2007,,Tier 2,Supermarket Type1
FDK32,16.25,Regular,0,Fruits and Vegetables,152.8682,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC31,8.02,Low Fat,0.019951406,Household,155.9972,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDG58,10.695,Regular,0.086916126,Snack Foods,153.7972,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRH36,16.2,Low Fat,0.033431957,Soft Drinks,73.3696,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCR30,20.6,Low Fat,0.070979549,Household,75.5696,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR35,12.5,Low Fat,0.020814797,Breads,198.4742,OUT017,2007,,Tier 2,Supermarket Type1
FDH44,19.1,Regular,0,Fruits and Vegetables,146.9418,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRG03,14.5,Low Fat,0.062337196,Dairy,152.4998,OUT017,2007,,Tier 2,Supermarket Type1
DRG03,14.5,Low Fat,0.062112285,Dairy,154.2998,OUT045,2002,,Tier 2,Supermarket Type1
FDS56,5.785,Regular,0.038914743,Fruits and Vegetables,264.0252,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU33,7.63,Regular,0.134982959,Snack Foods,45.2402,OUT045,2002,,Tier 2,Supermarket Type1
DRD27,18.75,Low Fat,0.023835413,Dairy,99.1042,OUT035,2004,Small,Tier 2,Supermarket Type1
DRA24,19.35,Regular,0.040009212,Soft Drinks,163.2868,OUT045,2002,,Tier 2,Supermarket Type1
FDS58,9.285,Regular,0.021092185,Snack Foods,160.8578,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRK39,7.02,Low Fat,0.05006853,Dairy,84.025,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCS38,8.6,Low Fat,0.090701591,Household,114.2176,OUT017,2007,,Tier 2,Supermarket Type1
NCJ06,20.1,Low Fat,0.034793779,Household,119.8782,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC52,11.15,Regular,0.008292773,Dairy,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ34,10.85,Low Fat,0.162494861,Snack Foods,104.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI10,8.51,Regular,0.078847814,Snack Foods,171.5422,OUT017,2007,,Tier 2,Supermarket Type1
DRI13,15.35,Low Fat,0.020358565,Soft Drinks,216.5508,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRB01,7.39,Low Fat,0.082704564,Soft Drinks,189.053,OUT017,2007,,Tier 2,Supermarket Type1
NCF42,17.35,Low Fat,0.167643297,Household,177.1712,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW55,12.6,Regular,0.022014451,Fruits and Vegetables,248.2092,OUT045,2002,,Tier 2,Supermarket Type1
FDK21,7.905,Low Fat,0.010068952,Snack Foods,249.4408,OUT017,2007,,Tier 2,Supermarket Type1
FDS10,19.2,Low Fat,0.035256945,Snack Foods,181.7318,OUT045,2002,,Tier 2,Supermarket Type1
FDX44,9.3,Low Fat,0.043053682,Fruits and Vegetables,87.6172,OUT045,2002,,Tier 2,Supermarket Type1
FDT20,10.5,Low Fat,0.041564073,Fruits and Vegetables,38.4164,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDO44,12.6,low fat,0.087947879,Fruits and Vegetables,109.9228,OUT017,2007,,Tier 2,Supermarket Type1
NCV42,6.26,LF,0.031416038,Household,112.5228,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY50,5.8,Low Fat,0,Dairy,88.8172,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDL21,15.85,Regular,0.007175526,Snack Foods,40.848,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV33,9.6,Regular,0.027498277,Snack Foods,260.2304,OUT017,2007,,Tier 2,Supermarket Type1
DRE12,4.59,Low Fat,0.071180921,Soft Drinks,114.186,OUT017,2007,,Tier 2,Supermarket Type1
NCB55,15.7,Low Fat,0.160632642,Household,57.8562,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR34,17,Regular,0.01596229,Snack Foods,230.8352,OUT035,2004,Small,Tier 2,Supermarket Type1
NCT06,17.1,Low Fat,0.03879778,Household,166.3842,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU56,16.85,Low Fat,0.044504129,Fruits and Vegetables,183.5266,OUT045,2002,,Tier 2,Supermarket Type1
FDM09,11.15,Regular,0.085915295,Snack Foods,170.779,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV02,16.75,Low Fat,0.060888099,Dairy,171.9106,OUT017,2007,,Tier 2,Supermarket Type1
FDS34,19.35,reg,0.07707176,Snack Foods,112.8518,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP09,19.75,Low Fat,0.034081551,Snack Foods,211.7902,OUT017,2007,,Tier 2,Supermarket Type1
FDT19,7.59,Regular,0,Fruits and Vegetables,172.808,OUT017,2007,,Tier 2,Supermarket Type1
DRH15,8.775,Low Fat,0.110532975,Dairy,44.2428,OUT017,2007,,Tier 2,Supermarket Type1
NCJ43,6.635,Low Fat,0.027124299,Household,172.9396,OUT045,2002,,Tier 2,Supermarket Type1
FDH10,21,Low Fat,0.049405001,Snack Foods,192.8478,OUT045,2002,,Tier 2,Supermarket Type1
NCR06,12.5,Low Fat,0.006803416,Household,40.8112,OUT017,2007,,Tier 2,Supermarket Type1
FDU32,8.785,Low Fat,0.026073405,Fruits and Vegetables,121.4414,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD56,15.2,Regular,0.103939618,Fruits and Vegetables,173.6054,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX10,6.385,Regular,0.124214471,Snack Foods,35.5874,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRC49,8.67,LF,0.065538317,Soft Drinks,141.8128,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS14,7.285,Low Fat,0.050167414,Dairy,156.9288,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDJ08,11.1,Low Fat,0.110651177,Fruits and Vegetables,192.7846,OUT035,2004,Small,Tier 2,Supermarket Type1
NCZ06,19.6,Low Fat,0.094352624,Household,253.8698,OUT045,2002,,Tier 2,Supermarket Type1
FDO31,6.76,Regular,0.029027743,Fruits and Vegetables,81.396,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS58,9.285,Regular,0.021125435,Snack Foods,159.7578,OUT017,2007,,Tier 2,Supermarket Type1
NCW42,18.2,Low Fat,0.058559885,Household,222.6456,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDK51,19.85,Low Fat,0.005256469,Dairy,264.0884,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCM54,17.7,Low Fat,0.051018257,Household,125.2678,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ20,16.1,Low Fat,0.034446714,Fruits and Vegetables,253.3356,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP58,11.1,Low Fat,0.135116764,Snack Foods,220.4482,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA20,6.78,Low Fat,0.066756194,Fruits and Vegetables,187.324,OUT045,2002,,Tier 2,Supermarket Type1
FDV35,19.5,Low Fat,0.128931187,Breads,154.6314,OUT017,2007,,Tier 2,Supermarket Type1
FDD34,7.945,Low Fat,0.01594096,Snack Foods,163.121,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK51,19.85,Low Fat,0,Dairy,265.0884,OUT045,2002,,Tier 2,Supermarket Type1
FDV31,9.8,LF,0.106697143,Fruits and Vegetables,175.637,OUT035,2004,Small,Tier 2,Supermarket Type1
FDR14,11.65,Low Fat,0.174319632,Dairy,55.5298,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP57,17.5,Low Fat,0.052525654,Snack Foods,104.399,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW47,15,LF,0.046366458,Breads,119.9414,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV46,18.2,Low Fat,0.012605492,Snack Foods,137.818,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE09,8.775,Low Fat,0.021691386,Fruits and Vegetables,110.5228,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRF15,18.35,Low Fat,0.033401862,Dairy,152.234,OUT017,2007,,Tier 2,Supermarket Type1
NCB07,19.2,Low Fat,0.077664737,Household,195.511,OUT045,2002,,Tier 2,Supermarket Type1
FDU50,5.75,Regular,0.075155997,Dairy,114.1176,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW10,21.2,Low Fat,0.070964186,Snack Foods,175.637,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP21,7.42,reg,0.025735975,Snack Foods,187.7872,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB51,6.92,Low Fat,0.038513862,Dairy,61.5852,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC51,10.895,Regular,0.009661057,Dairy,122.973,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDE40,15.6,Regular,0.099297902,Dairy,60.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU56,16.85,Low Fat,0,Fruits and Vegetables,185.3266,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX02,16,Low Fat,0.057148803,Dairy,224.3404,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCY06,15.25,Low Fat,0.06127993,Household,129.6968,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY56,16.35,Regular,0.062399603,Fruits and Vegetables,224.7062,OUT035,2004,Small,Tier 2,Supermarket Type1
NCI06,11.3,LF,0.047708667,Household,178.366,OUT035,2004,Small,Tier 2,Supermarket Type1
FDQ14,9.27,Low Fat,0.061912597,Dairy,150.105,OUT045,2002,,Tier 2,Supermarket Type1
FDY09,15.6,Low Fat,0.025302804,Snack Foods,176.8054,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCW30,5.21,Low Fat,0.011027014,Household,260.6962,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDE58,18.5,Low Fat,0.052280828,Snack Foods,117.3124,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDH08,7.51,Low Fat,0.017527666,Fruits and Vegetables,228.001,OUT017,2007,,Tier 2,Supermarket Type1
FDG22,17.6,Regular,0.041445492,Snack Foods,35.219,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC34,16,Regular,0.172726426,Snack Foods,156.7972,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU45,15.6,Regular,0.035499428,Snack Foods,115.7518,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX22,6.785,Regular,0.023068402,Snack Foods,209.7928,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB45,20.85,Low Fat,0.021450443,Fruits and Vegetables,103.6306,OUT017,2007,,Tier 2,Supermarket Type1
NCM54,17.7,Low Fat,0.051227193,Household,127.2678,OUT017,2007,,Tier 2,Supermarket Type1
NCT06,17.1,Low Fat,0.038956669,Household,165.1842,OUT017,2007,,Tier 2,Supermarket Type1
FDK09,15.2,Low Fat,0.091949401,Snack Foods,227.4352,OUT045,2002,,Tier 2,Supermarket Type1
FDW11,12.6,Low Fat,0.048881014,Breads,63.7194,OUT045,2002,,Tier 2,Supermarket Type1
FDN08,7.72,Regular,0.088502045,Fruits and Vegetables,116.2466,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT57,15.2,Low Fat,0.019073386,Snack Foods,237.7248,OUT045,2002,,Tier 2,Supermarket Type1
FDK56,9.695,Low Fat,0.130733334,Fruits and Vegetables,188.3898,OUT017,2007,,Tier 2,Supermarket Type1
DRF15,18.35,Low Fat,0.033281349,Dairy,154.134,OUT045,2002,,Tier 2,Supermarket Type1
FDK57,10.195,Low Fat,0.080619969,Snack Foods,119.144,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCD31,12.1,Low Fat,0.015431545,Household,162.7526,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ56,8.985,LF,0.183368339,Fruits and Vegetables,100.07,OUT035,2004,Small,Tier 2,Supermarket Type1
FDD39,16.7,Low Fat,0.070141633,Dairy,214.985,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB09,16.25,Low Fat,0.057512493,Fruits and Vegetables,125.5046,OUT045,2002,,Tier 2,Supermarket Type1
DRM49,6.11,Regular,0.152573001,Soft Drinks,45.1086,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRH01,17.5,Low Fat,0.097885516,Soft Drinks,172.6738,OUT035,2004,Small,Tier 2,Supermarket Type1
NCD55,14,Low Fat,0.024430294,Household,42.6454,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDQ57,7.275,Low Fat,0.02800432,Snack Foods,146.976,OUT045,2002,,Tier 2,Supermarket Type1
FDC21,14.6,Regular,0.04302561,Fruits and Vegetables,110.0254,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF58,13.3,Low Fat,0.009579343,Snack Foods,62.351,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA43,10.895,low fat,0.064663519,Fruits and Vegetables,194.0794,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE55,8.92,Low Fat,0,Household,178.137,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCS54,13.6,Low Fat,0.010049688,Household,174.937,OUT017,2007,,Tier 2,Supermarket Type1
FDK57,10.195,Low Fat,0.080417724,Snack Foods,121.244,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDR56,15.5,Regular,0.100970195,Fruits and Vegetables,195.8768,OUT045,2002,,Tier 2,Supermarket Type1
FDB47,8.8,Low Fat,0.07157425,Snack Foods,207.9612,OUT045,2002,,Tier 2,Supermarket Type1
FDY32,7.605,Low Fat,0.129972082,Fruits and Vegetables,162.921,OUT017,2007,,Tier 2,Supermarket Type1
FDG34,11.5,Regular,0.037628842,Snack Foods,109.5254,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCF18,18.35,Low Fat,0.088965771,Household,189.8504,OUT035,2004,Small,Tier 2,Supermarket Type1
NCH55,16.35,Low Fat,0.03466576,Household,125.902,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS44,12.65,Regular,0.156014453,Fruits and Vegetables,238.9538,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE01,10.1,LF,0.167836117,Soft Drinks,241.0512,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY32,7.605,Low Fat,0.129767515,Fruits and Vegetables,161.821,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU57,8.27,Regular,0.089693419,Snack Foods,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY46,18.6,Low Fat,0.047987061,Snack Foods,186.8898,OUT045,2002,,Tier 2,Supermarket Type1
