Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Sales_Value
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1903.2980473333348
FDW14,8.3,reg,0.038427677,Dairy,87.3198,OUT017,2007,,Tier 2,Supermarket Type1,1213.2451726666673
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,,Tier 2,Supermarket Type1,2345.9418613333296
FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,OUT045,2002,,Tier 2,Supermarket Type1,1079.2484840000006
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,,Tier 2,Supermarket Type1,1938.0128593333325
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,,Tier 2,Supermarket Type1,1433.9157053333295
FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,2113.8173493333293
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,3530.042748666665
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,3179.747613999999
NCF19,13.0,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,794.5324300000029
FDE21,12.8,LF,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1899.1234813333338
NCR06,12.5,Low Fat,0.006792707,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,379.73015266666664
FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,,Tier 2,Supermarket Type1,2289.7239286666636
NCF18,18.35,Low Fat,0.089485918,Household,192.1504,OUT017,2007,,Tier 2,Supermarket Type1,3796.6290686666625
NCD54,21.1,Low Fat,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1906.8312260000012
NCY54,8.43,Low Fat,0.178699961,Household,173.9422,OUT017,2007,,Tier 2,Supermarket Type1,2436.275385999998
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,,Tier 2,Supermarket Type1,3484.1669093333253
FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,,Tier 2,Supermarket Type1,1763.189314666666
FDE52,10.395,Regular,0.029947409,Dairy,90.1514,OUT045,2002,,Tier 2,Supermarket Type1,1228.7117066666674
FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,2007,,Tier 2,Supermarket Type1,3524.6009433333356
FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,,Tier 2,Supermarket Type1,1288.0833120000018
NCW42,18.2,Low Fat,0.058587558,Household,221.6456,OUT045,2002,,Tier 2,Supermarket Type1,4073.752783333338
NCX06,17.6,Low Fat,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,3049.279665333334
FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1836.256426000001
DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,5865.145385999979
NCG06,16.35,Low Fat,0.029505077,Household,256.2646,OUT045,2002,,Tier 2,Supermarket Type1,3546.0441420000056
DRC36,13.0,Regular,0.045076104,Soft Drinks,173.7054,OUT045,2002,,Tier 2,Supermarket Type1,3042.6083493333344
DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,2905.7021146666675
FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,1625.8769420000008
FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,,Tier 2,Supermarket Type1,2368.9585673333354
FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,1731.441751333333
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1527.2408913333325
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,,Tier 2,Supermarket Type1,2326.509378666667
FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2119.9604640000007
FDM22,14.0,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,1008.9422233333313
FDU14,17.75,Low Fat,0.0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,4175.975276666666
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1366.1306073333367
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,,Tier 2,Supermarket Type1,1404.2698506666648
NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,,Tier 2,Supermarket Type1,559.478398
NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,1891.9417186666694
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1366.8097233333333
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,353.2268739999996
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1893.4530846666648
NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,2132.4974780000025
FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1337.751992000001
NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,2417.732855999994
NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,,Tier 2,Supermarket Type1,1484.3433973333351
FDL46,20.35,Low Fat,0.0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1818.7436666666642
FDM20,10.0,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,,Tier 2,Supermarket Type1,4752.984188666666
NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2283.851572666664
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,664.7946420000009
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,918.4755386666651
DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,,Tier 2,Supermarket Type1,1158.2412153333314
DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,949.974536666666
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,1980.4221000000016
NCH54,13.5,LF,0.073080167,Household,161.492,OUT017,2007,,Tier 2,Supermarket Type1,2573.4967659999957
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,2886.3317733333315
FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1810.7229960000038
NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,,Tier 2,Supermarket Type1,892.2252640000015
NCN18,8.895,Low Fat,0.0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1598.9852799999976
FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,3545.3539293333297
NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,3233.530938000007
FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,2940.3880753333337
FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,914.4652033333335
FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,,Tier 2,Supermarket Type1,3463.8245000000097
DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,,Tier 2,Supermarket Type1,1799.1158826666683
FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,,Tier 2,Supermarket Type1,3489.5665473333347
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,Tier 3,Supermarket Type2,1578.5363426666643
FDM20,10.0,Low Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Medium,Tier 1,Supermarket Type1,4430.881245333338
NCG55,16.25,Low Fat,0.039225553,Household,116.2176,OUT045,2002,,Tier 2,Supermarket Type1,2182.889660666663
FDX35,5.035,Regular,0.080236064,Breads,226.4036,OUT018,2009,Medium,Tier 3,Supermarket Type2,3247.219786000003
FDW21,5.34,Regular,0.005975976,Snack Foods,100.8358,OUT045,2002,,Tier 2,Supermarket Type1,1739.9440173333346
FDS59,14.8,Regular,0.043961689,Breads,109.157,OUT049,1999,Medium,Tier 1,Supermarket Type1,1988.7778900000014
FDY19,19.75,Low Fat,0.041598912,Fruits and Vegetables,118.0466,OUT017,2007,,Tier 2,Supermarket Type1,2100.312705999995
NCC55,10.695,Low Fat,0.063862271,Household,38.1848,OUT049,1999,Medium,Tier 1,Supermarket Type1,710.2510273333334
FDO09,13.5,Regular,0.125983278,Snack Foods,264.691,OUT017,2007,,Tier 2,Supermarket Type1,5933.676179999986
FDU43,19.35,Regular,0.058161092,Fruits and Vegetables,239.4564,OUT045,2002,,Tier 2,Supermarket Type1,4249.339778666665
FDW58,20.75,Low Fat,0.007595816,Snack Foods,104.4622,OUT017,2007,,Tier 2,Supermarket Type1,2292.6756420000056
FDC47,15.0,Low Fat,0.11956313,Snack Foods,227.2694,OUT017,2007,,Tier 2,Supermarket Type1,4164.288267333326
DRG49,7.81,Low Fat,0.067442541,Soft Drinks,244.7486,OUT035,2004,Small,Tier 2,Supermarket Type1,5351.587213999981
NCU18,15.1,Low Fat,0.055926872,Household,141.4496,OUT049,1999,Medium,Tier 1,Supermarket Type1,2600.858926666665
FDY33,14.5,Regular,0.097597084,Snack Foods,158.5262,OUT018,2009,Medium,Tier 3,Supermarket Type2,3160.0377146666647
NCY30,20.25,Low Fat,0.02610006,Household,182.8976,OUT017,2007,,Tier 2,Supermarket Type1,3289.910881999992
FDQ46,7.51,Low Fat,0.103974431,Snack Foods,112.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1939.939240666669
FDK33,17.85,Low Fat,0.011298801,Snack Foods,213.256,OUT017,2007,,Tier 2,Supermarket Type1,3306.9642393333243
NCD07,9.1,Low Fat,0.055541153,Household,115.6518,OUT045,2002,,Tier 2,Supermarket Type1,958.9362046666699
FDI44,16.1,Low Fat,0.100213917,Fruits and Vegetables,79.0328,OUT035,2004,Small,Tier 2,Supermarket Type1,1525.796105333334
FDA45,21.25,Low Fat,0.155621254,Snack Foods,178.237,OUT049,1999,Medium,Tier 1,Supermarket Type1,2027.5762753333318
FDP31,21.1,Regular,0.161832494,Fruits and Vegetables,65.7168,OUT045,2002,,Tier 2,Supermarket Type1,1293.0856893333303
FDT09,15.15,Regular,0.012313256,Snack Foods,132.8284,OUT018,2009,Medium,Tier 3,Supermarket Type2,2018.911997999998
NCF31,9.13,Low Fat,0.052140695,Household,153.4024,OUT017,2007,,Tier 2,Supermarket Type1,2235.447912666663
FDU14,17.75,Low Fat,0.034806679,Dairy,250.175,OUT049,1999,Medium,Tier 1,Supermarket Type1,3985.647469333337
FDI56,7.325,Low Fat,0.093530571,Fruits and Vegetables,90.4146,OUT049,1999,Medium,Tier 1,Supermarket Type1,1460.2658499999995
DRK49,14.15,Low Fat,0.036090136,Soft Drinks,41.1138,OUT018,2009,Medium,Tier 3,Supermarket Type2,355.23758999999916
DRD60,15.7,Low Fat,0.03744271,Soft Drinks,181.1634,OUT017,2007,,Tier 2,Supermarket Type1,3306.8532726666645
FDM32,20.5,Low Fat,0.020601136,Fruits and Vegetables,91.683,OUT035,2004,Small,Tier 2,Supermarket Type1,1700.9747433333305
NCC06,19.0,Low Fat,0.027096298,Household,128.6336,OUT018,2009,Medium,Tier 3,Supermarket Type2,2012.2406820000006
FDW02,4.805,Regular,0.037912667,Dairy,125.8704,OUT017,2007,,Tier 2,Supermarket Type1,2068.716057333332
NCD43,8.85,Low Fat,0.016110572,Household,104.2964,OUT017,2007,,Tier 2,Supermarket Type1,1754.169944
FDM57,11.65,Regular,0.076158144,Snack Foods,82.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2,907.1746933333335
FDA58,9.395,Low Fat,0.104338095,Snack Foods,236.8932,OUT017,2007,,Tier 2,Supermarket Type1,3702.0055726666646
FDW20,20.75,LF,0.024247803,Fruits and Vegetables,123.973,OUT018,2009,Medium,Tier 3,Supermarket Type2,2042.2749199999978
FDF34,9.3,Regular,0.014016743,Snack Foods,196.8084,OUT035,2004,Small,Tier 2,Supermarket Type1,3105.115872666662
FDZ10,17.85,Low Fat,0.0,Snack Foods,127.502,OUT045,2002,,Tier 2,Supermarket Type1,2262.2552400000013
FDD51,11.15,Low Fat,0.120441348,Dairy,43.7744,OUT018,2009,Medium,Tier 3,Supermarket Type2,397.3205886666666
FDP58,11.1,LF,0.135906738,Snack Foods,217.9482,OUT017,2007,,Tier 2,Supermarket Type1,3254.852073333331
FDP26,7.785,Low Fat,0.139835844,Dairy,104.7306,OUT045,2002,,Tier 2,Supermarket Type1,1171.5083899999977
FDF32,16.35,Low Fat,0.068466049,Fruits and Vegetables,197.1426,OUT017,2007,,Tier 2,Supermarket Type1,3494.8729733333284
FDN31,11.5,Low Fat,0.073178424,Fruits and Vegetables,189.153,OUT018,2009,Medium,Tier 3,Supermarket Type2,2796.706215999997
DRM48,15.2,Low Fat,0.113535259,Soft Drinks,36.0848,OUT017,2007,,Tier 2,Supermarket Type1,656.3656139999988
FDN20,19.35,Low Fat,0.026222599,Fruits and Vegetables,169.0474,OUT049,1999,Medium,Tier 1,Supermarket Type1,3054.799147333333
FDV56,16.1,Regular,0.01361686,Fruits and Vegetables,107.2596,OUT049,1999,Medium,Tier 1,Supermarket Type1,1489.1904213333316
FDA03,18.5,Regular,0.045720935,Dairy,145.6102,OUT017,2007,,Tier 2,Supermarket Type1,2425.924415333333
FDX57,17.25,Regular,0.047339698,Snack Foods,96.5068,OUT049,1999,Medium,Tier 1,Supermarket Type1,1659.6063699999975
NCA30,19.0,LF,0.129596025,Household,190.5872,OUT045,2002,,Tier 2,Supermarket Type1,3675.160516666665
DRM48,15.2,Low Fat,0.112875322,Soft Drinks,37.2848,OUT035,2004,Small,Tier 2,Supermarket Type1,771.4069766666662
NCC19,6.57,Low Fat,0.097275225,Household,192.682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2785.1257346666684
NCE42,21.1,Low Fat,0.010623794,Household,235.4958,OUT045,2002,,Tier 2,Supermarket Type1,2501.086577333335
FDY08,9.395,Regular,0.171042873,Fruits and Vegetables,139.9838,OUT035,2004,Small,Tier 2,Supermarket Type1,2151.9277413333366
NCT30,9.1,LF,0.080455726,Household,47.3718,OUT045,2002,,Tier 2,Supermarket Type1,710.7681320000017
DRY23,9.395,Regular,0.109540783,Soft Drinks,41.9112,OUT018,2009,Medium,Tier 3,Supermarket Type2,419.72697799999963
NCZ30,6.59,Low Fat,0.026291649,Household,121.7098,OUT018,2009,Medium,Tier 3,Supermarket Type2,1736.495173333335
FDC44,15.6,Low Fat,0.173299972,Fruits and Vegetables,113.3518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1855.3449120000016
FDB45,20.85,Low Fat,0.021325759,Fruits and Vegetables,104.6306,OUT035,2004,Small,Tier 2,Supermarket Type1,1783.2032626666664
FDZ43,11.0,Regular,0.057381292,Fruits and Vegetables,241.2512,OUT017,2007,,Tier 2,Supermarket Type1,5330.53239866666
FDL57,15.1,Regular,0.067456225,Snack Foods,257.5304,OUT017,2007,,Tier 2,Supermarket Type1,5663.621041999999
FDP09,19.75,Low Fat,0.033958586,Snack Foods,212.0902,OUT045,2002,,Tier 2,Supermarket Type1,3605.3380706666676
FDW21,5.34,Regular,0.005973153,Snack Foods,99.0358,OUT049,1999,Medium,Tier 1,Supermarket Type1,1714.0244233333353
DRE13,6.28,Low Fat,0.027861814,Soft Drinks,85.5198,OUT017,2007,,Tier 2,Supermarket Type1,1441.756609999996
FDD22,10.0,Low Fat,0.099851786,Snack Foods,111.7544,OUT045,2002,,Tier 2,Supermarket Type1,2345.591206666671
NCM54,17.7,Low Fat,0.051042366,Household,126.1678,OUT045,2002,,Tier 2,Supermarket Type1,2171.067271999998
FDP20,19.85,Low Fat,0.04592756,Fruits and Vegetables,127.902,OUT017,2007,,Tier 2,Supermarket Type1,2379.8688100000004
FDM58,16.85,Regular,0.0,Snack Foods,111.0544,OUT045,2002,,Tier 2,Supermarket Type1,2404.982786000003
NCA18,10.1,Low Fat,0.05630601,Household,117.1492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1414.5298286666668
FDT31,19.75,Low Fat,0.012445941,Fruits and Vegetables,187.8872,OUT035,2004,Small,Tier 2,Supermarket Type1,2333.2894419999966
FDT45,15.85,Low Fat,0.05740255,Snack Foods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,725.4490220000022
NCR54,16.35,Low Fat,0.090702992,Household,195.111,OUT049,1999,Medium,Tier 1,Supermarket Type1,3447.587857333331
NCO18,13.15,Low Fat,0.024751688,Household,178.2686,OUT018,2009,Medium,Tier 3,Supermarket Type2,3206.812383999999
FDU09,7.71,Regular,0.0667322,Snack Foods,56.2956,OUT045,2002,,Tier 2,Supermarket Type1,852.474784666669
FDG45,8.1,Low Fat,0.0,Fruits and Vegetables,213.2902,OUT049,1999,Medium,Tier 1,Supermarket Type1,3516.629097999996
DRH15,8.775,Low Fat,0.109890489,Dairy,45.0428,OUT035,2004,Small,Tier 2,Supermarket Type1,720.5420759999994
DRE01,10.1,Low Fat,0.167123591,Soft Drinks,243.5512,OUT035,2004,Small,Tier 2,Supermarket Type1,4907.258925999986
DRE15,13.35,Low Fat,0.017813048,Dairy,77.0012,OUT049,1999,Medium,Tier 1,Supermarket Type1,1370.11653
NCL42,18.85,Low Fat,0.04045348,Household,247.0144,OUT045,2002,,Tier 2,Supermarket Type1,4601.541320666656
FDN33,6.305,Regular,0.123617286,Snack Foods,93.5436,OUT018,2009,Medium,Tier 3,Supermarket Type2,994.8871853333353
FDQ45,9.5,Regular,0.010961524,Snack Foods,184.4608,OUT018,2009,Medium,Tier 3,Supermarket Type2,2962.761174666665
FDW10,21.2,Low Fat,0.0,Snack Foods,176.137,OUT049,1999,Medium,Tier 1,Supermarket Type1,3076.635167999997
FDS20,8.85,Low Fat,0.054086343,Fruits and Vegetables,182.2292,OUT018,2009,Medium,Tier 3,Supermarket Type2,2465.581682666661
FDV02,16.75,Low Fat,0.060534179,Dairy,169.4106,OUT035,2004,Small,Tier 2,Supermarket Type1,2512.596040000001
FDN23,6.575,Regular,0.075815345,Breads,144.6444,OUT018,2009,Medium,Tier 3,Supermarket Type2,2535.5306306666694
FDV23,11.0,Low Fat,0.106435421,Breads,125.7046,OUT017,2007,,Tier 2,Supermarket Type1,1904.951450666663
DRI03,6.03,Low Fat,0.022749737,Dairy,175.7028,OUT045,2002,,Tier 2,Supermarket Type1,2851.2307973333263
FDN13,18.6,Low Fat,0.152029528,Breakfast,99.3358,OUT035,2004,Small,Tier 2,Supermarket Type1,1651.2217286666662
FDU46,10.3,Regular,0.011124197,Snack Foods,87.454,OUT035,2004,Small,Tier 2,Supermarket Type1,1435.3493946666674
FDB57,20.25,Regular,0.018834342,Fruits and Vegetables,222.3772,OUT049,1999,Medium,Tier 1,Supermarket Type1,4166.527574666668
NCA18,10.1,Low Fat,0.056394771,Household,115.9492,OUT017,2007,,Tier 2,Supermarket Type1,1250.2081693333328
FDM32,20.5,LF,0.020721583,Fruits and Vegetables,91.183,OUT017,2007,,Tier 2,Supermarket Type1,1389.0296886666665
FDP59,20.85,Regular,0.056785107,Breads,102.2648,OUT017,2007,,Tier 2,Supermarket Type1,1859.8190879999966
FDM22,14.0,Regular,0.042042857,Snack Foods,53.864,OUT045,2002,,Tier 2,Supermarket Type1,1063.169413999998
FDX02,16.0,Low Fat,0.057175809,Dairy,223.5404,OUT045,2002,,Tier 2,Supermarket Type1,2961.311949999996
NCS42,8.6,Low Fat,0.06969924,Household,92.6146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1360.9107353333347
FDB21,7.475,Low Fat,0.148751515,Fruits and Vegetables,241.8854,OUT049,1999,Medium,Tier 1,Supermarket Type1,4524.887766666674
FDQ55,13.65,Regular,0.013111823,Fruits and Vegetables,113.2834,OUT017,2007,,Tier 2,Supermarket Type1,2250.4261933333355
FDZ19,6.425,Low Fat,0.093644428,Fruits and Vegetables,174.3712,OUT045,2002,,Tier 2,Supermarket Type1,2454.8978119999997
NCC43,7.39,Low Fat,0.092971061,Household,252.4066,OUT045,2002,,Tier 2,Supermarket Type1,2526.6111300000007
